code_namespace,source_code,source_description,internal_key,procedure_family,phase,classification,preferred_surface,codex_action,parser_note,official_source
register_main_event,0009013,Publication of search report,SEARCH_REPORT_PUBLICATION,EP_DIRECT,search,informational,event_history/all_documents,No standalone deadline; pair with Rule 70/70a path,"Use publication event as anchor for search-stage awareness, not reply deadline.","EPO Register User manual (June 2025), Main events"
register_main_event,0009015,Publication of international search report,ISR_PUBLICATION,EURO_PCT,pre-regional-phase,informational,event_history/all_documents,No EP reply deadline from this event alone,Useful for PCT chronology only.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009016,Supplementary search report,SUPPLEMENTARY_SEARCH_REPORT_PUBLICATION,EURO_PCT,search,informational,event_history/all_documents,No standalone deadline; pair with downstream communication,Useful for Euro-PCT search chronology.,"EPO Register User manual (June 2025), Main events"
register_main_event,EPIDOSNIGR1,New entry: Communication of intention to grant a patent,GRANT_R71_3_EVENT,ALL_EP,grant,deadline-bearing,event_history/about_this_file/all_documents,"Create 4-month candidate, but confirm exact despatch/date from document",Use all_documents for legal date and supersession logic.,"EPO Register User manual (June 2025), Main events"
register_main_event,EPIDOSCIGR1,Change: Communication of intention to grant a patent,GRANT_R71_3_EVENT,ALL_EP,grant,deadline-bearing,event_history/about_this_file/all_documents,"Refresh 4-month candidate, but confirm exact despatch/date from document",Treat as update to Rule 71(3) state.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009121,Application deemed to be withdrawn,LOSS_OF_RIGHTS_EVENT,ALL_EP,loss_of_rights,consequence,event_history/about_this_file/all_documents,No new response deadline by default; route to remedies,Look for underlying missed act and possible further processing/re-establishment.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009181,Refusal of application,REFUSAL_DECISION_EVENT,ALL_EP,decision,decision,event_history/about_this_file/all_documents,Route to appeal branch,Do not treat as ordinary office action.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009260,Opposition filed,OPPOSITION_FILED,POST_GRANT_OPPOSITION,opposition,status,event_history/about_this_file/all_documents,Create opposition case state; next real deadline usually from Rule 79/OREX/DOBS,Not itself the proprietor reply communication.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009261,No opposition filed within time limit,NO_OPPOSITION_FILED,POST_GRANT_OPPOSITION,opposition_end,status,event_history/about_this_file,Close opposition watch for the patent,Post-grant status update.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009272,Patent maintained (B2 publication),OPPOSITION_B2_PUBLICATION,POST_GRANT_OPPOSITION,opposition_endgame,publication,event_history/about_this_file/all_documents,Close Rule 82 branch once publication confirmed,"Publication, not the underlying communication itself.","EPO Register User manual (June 2025), Main events"
register_main_event,0009273,Opposition rejected,OPPOSITION_REJECTED,POST_GRANT_OPPOSITION,opposition_decision,decision,event_history/about_this_file/all_documents,Route to appeal branch,Decision event.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009276,Opposition procedure terminated - date of legal effect published,OPPOSITION_TERMINATED,POST_GRANT_OPPOSITION,opposition_closed,status,event_history/about_this_file,Close opposition case state,Termination marker.,"EPO Register User manual (June 2025), Main events"
register_main_event,0009250,Lapse of the patent in a contracting state,NATIONAL_LAPSE,POST_GRANT_NATIONAL,post_grant_national,status,event_history/about_this_file/federated register,Update national status only,"National post-grant layer, not central EP procedure.","EPO Register User manual (June 2025), Main events"
procedural_step,ADWI,Application deemed to be withdrawn,LOSS_OF_RIGHTS_R112,ALL_EP,loss_of_rights,consequence,all_documents/ST36 procedural-data,Link to underlying missed act using STEP_DESCRIPTION_NAME,"Reason strings include missed examination reply, EESR reply, prior-art info, fees, etc.",Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,EXRE,Invitation to indicate the basis for amendments,AMENDMENT_BASIS_INVITATION,ALL_EP,examination,deadline-bearing,all_documents/ST36 procedural-data,Create deadline from DATE_OF_DISPATCH + time-limit in record,Good structured marker for Rule 137(4)-type issue.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,IGRA,Intention to grant the patent,GRANT_R71_3,ALL_EP,grant,deadline-bearing,all_documents/ST36 procedural-data,Create 4-month candidate from DATE_OF_DISPATCH; prefer actual document despatch/date,Also stores grant fee / print fee / translation dates.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,IGRE,Disapproval of the communication of intention to grant the patent,GRANT_R71_6_DISAPPROVAL,ALL_EP,grant,incoming-response,all_documents/ST36 procedural-data,Use as applicant action affecting grant branch,May lead to fresh Rule 71(3) or resumed examination.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,LIRE,Communication from the examining division in a limitation procedure,LIMITATION_COMMUNICATION,LIMITATION_REVOCATION,limitation,deadline-bearing,all_documents/ST36 procedural-data,Create deadline from DATE_OF_DISPATCH + time-limit in record,Limitation-specific communication family.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,ORAL,Oral proceedings,ORAL_PROCEEDINGS_EVENT,ALL_EP,examination/opposition/appeal,hearing,all_documents/ST36 procedural-data,Store OP date(s); parse annex separately for Rule 116 final date,The event itself is not enough for final-date logic.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,OREX,Communication from the opposition division,OPPOSITION_DIVISION_COMMUNICATION,POST_GRANT_OPPOSITION,opposition,deadline-bearing,all_documents/ST36 procedural-data,Create deadline from DATE_OF_DISPATCH + time-limit in record,Strong structured marker for opposition communications.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,PART,Invitation to provide information on prior art,PRIOR_ART_INFORMATION_INVITATION,ALL_EP,examination,deadline-bearing,all_documents/ST36 procedural-data,Create deadline from DATE_OF_DISPATCH + available time-limit/manual review,Often relevant to later ADWI / RFPR routing.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,PMAP,Preparation for maintenance of the patent in an amended form,OPPOSITION_R82_BRANCH,POST_GRANT_OPPOSITION,opposition_endgame,deadline-bearing,all_documents/ST36 procedural-data,Use DATE_OF_DISPATCH as Rule 82 branch anchor and track payment,Maps well to Rule 82(1)/(2) maintenance logic.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,RFPR,Request for further processing,FURTHER_PROCESSING_REQUEST,ALL_EP,remedial,remedial,all_documents/ST36 procedural-data,Attach to missed act using STEP_DESCRIPTION_NAME and record result,Central remedial branch for many missed deadlines.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,SFEE,Fee for a supplementary search,SUPPLEMENTARY_SEARCH_FEE_PAYMENT,EURO_PCT,regional_phase_entry,payment,all_documents/ST36 procedural-data,"Use as Euro-PCT entry/compliance signal, not communication deadline",One of the regional-phase acts.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,TRAN,Translation of the application,EURO_PCT_TRANSLATION_RECEIVED,EURO_PCT,regional_phase_entry,filing,all_documents/ST36 procedural-data,Use as Euro-PCT entry/compliance signal,One of the regional-phase acts.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,DDIV,First communication from the examining division,FIRST_EXAM_COMM_DIVISIONAL_MARKER,ALL_EP,examination,marker,all_documents/ST36 procedural-data,Use for divisional-window logic and examination chronology,Not necessarily the full text of the communication.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,ACOR,Despatch of invitation to pay additional claims fees,ADDITIONAL_CLAIMS_FEE_INVITATION_AFTER_ALLOWED_AMENDMENT,ALL_EP,grant,deadline-bearing,all_documents/ST36 procedural-data,Create fee deadline from DATE_OF_DISPATCH + time-limit in record,Grant-stage edge case after allowed amendment/correction.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
procedural_step,CDEC,Request for correction of the decision to grant filed,CORRECTION_REQUEST_AFTER_GRANT_DECISION,ALL_EP,grant,incoming-request,all_documents/ST36 procedural-data,Store as branch affecting post-grant decision correction,Do not confuse with Rule 71(3) amendment branch.,Description of EP Register data in ST.36-compatible XML structure (Aug 2021)
